unnamed:_0,year_label,export_value,year,export_value_eur_million,category
Fruit & Vegetables Based Products,cy_2018_tonnes,117821473.0,2018,117821473.0,Fruit & Vegetables Based Products
Grand Total,cy_2018_value,13768666396.0,2018,13768666396.0,Grand Total
Grand Total,cy_2018_tonnes,7022670539.0,2018,7022670539.0,Grand Total
Live Animals,cy_2018_value,431525615.0,2018,431525615.0,Live Animals
Live Animals,cy_2018_tonnes,80826212.0,2018,80826212.0,Live Animals
Miscellaneous Edible Products & Preparations,cy_2018_value,264574146.0,2018,264574146.0,Miscellaneous Edible Products & Preparations
Miscellaneous Edible Products & Preparations,cy_2018_tonnes,97948539.0,2018,97948539.0,Miscellaneous Edible Products & Preparations
"Oils, Fats & Oleaginous Fruits",cy_2018_value,68745559.0,2018,68745559.0,"Oils, Fats & Oleaginous Fruits"
"Oils, Fats & Oleaginous Fruits",cy_2018_tonnes,113310241.0,2018,113310241.0,"Oils, Fats & Oleaginous Fruits"
Other Meat & Meat Produce,cy_2018_value,54542823.0,2018,54542823.0,Other Meat & Meat Produce
Other Meat & Meat Produce,cy_2018_tonnes,71382148.0,2018,71382148.0,Other Meat & Meat Produce
Pigmeat,cy_2018_value,828075422.0,2018,828075422.0,Pigmeat
Pigmeat,cy_2018_tonnes,283880142.0,2018,283880142.0,Pigmeat
Poultry,cy_2018_value,306220492.0,2018,306220492.0,Poultry
Poultry,cy_2018_tonnes,135745006.0,2018,135745006.0,Poultry
Sheepmeat,cy_2018_value,316004473.0,2018,316004473.0,Sheepmeat
Sheepmeat,cy_2018_tonnes,59760750.0,2018,59760750.0,Sheepmeat
"Sugar, Sugar Preparation & Honey",cy_2018_value,143777499.0,2018,143777499.0,"Sugar, Sugar Preparation & Honey"
"Sugar, Sugar Preparation & Honey",cy_2018_tonnes,119277067.0,2018,119277067.0,"Sugar, Sugar Preparation & Honey"
"Wool, Flax & Cotton",cy_2018_value,9408797.0,2018,9408797.0,"Wool, Flax & Cotton"
"Wool, Flax & Cotton",cy_2018_tonnes,6825376.0,2018,6825376.0,"Wool, Flax & Cotton"
,cy_2018_value,,2018,,nan
,cy_2018_value,,2018,,nan
,cy_2018_tonnes,,2018,,nan
,cy_2018_tonnes,,2018,,nan
Animal Feed,cy_2019_value,426793208.0,2019,426793208.0,Animal Feed
Animal Feed,cy_2019_tonnes,920134102.0,2019,920134102.0,Animal Feed
Animal Skins & Furs,cy_2019_value,74115644.0,2019,74115644.0,Animal Skins & Furs
Animal Skins & Furs,cy_2019_tonnes,75873739.0,2019,75873739.0,Animal Skins & Furs
Beef,cy_2019_value,2348871628.0,2019,2348871628.0,Beef
Beef,cy_2019_tonnes,528378576.0,2019,528378576.0,Beef
Beverages,cy_2019_value,1715261857.0,2019,1715261857.0,Beverages
Beverages,cy_2019_tonnes,966941507.0,2019,966941507.0,Beverages
Cereal & cereal preparation,cy_2019_value,489674618.0,2019,489674618.0,Cereal & cereal preparation
Cereal & cereal preparation,cy_2019_tonnes,259596783.0,2019,259596783.0,Cereal & cereal preparation
"Coffee, Tea, Cocoa & Spices",cy_2019_value,411072695.0,2019,411072695.0,"Coffee, Tea, Cocoa & Spices"
"Coffee, Tea, Cocoa & Spices",cy_2019_tonnes,69126897.0,2019,69126897.0,"Coffee, Tea, Cocoa & Spices"
Crude Animal & Vegetable Material,cy_2019_value,117075336.0,2019,117075336.0,Crude Animal & Vegetable Material
Crude Animal & Vegetable Material,cy_2019_tonnes,157242860.0,2019,157242860.0,Crude Animal & Vegetable Material
Dairy Produce,cy_2019_value,5164242160.0,2019,5164242160.0,Dairy Produce
Dairy Produce,cy_2019_tonnes,1735917905.0,2019,1735917905.0,Dairy Produce
Egg,cy_2019_value,20335886.0,2019,20335886.0,Egg
Egg,cy_2019_tonnes,9607535.0,2019,9607535.0,Egg
Fish,cy_2019_value,576811365.0,2019,576811365.0,Fish
Fish,cy_2019_tonnes,202387760.0,2019,202387760.0,Fish
Forestry & Wood products,cy_2019_value,466228946.0,2019,466228946.0,Forestry & Wood products
Forestry & Wood products,cy_2019_tonnes,1527423912.0,2019,1527423912.0,Forestry & Wood products
Fruit & Vegetables,cy_2019_value,159179647.0,2019,159179647.0,Fruit & Vegetables
Fruit & Vegetables,cy_2019_tonnes,85048473.0,2019,85048473.0,Fruit & Vegetables
Fruit & Vegetables Based Products,cy_2019_value,157692565.0,2019,157692565.0,Fruit & Vegetables Based Products
Fruit & Vegetables Based Products,cy_2019_tonnes,103262945.0,2019,103262945.0,Fruit & Vegetables Based Products
Grand Total,cy_2019_value,14653217609.0,2019,14653217609.0,Grand Total
Grand Total,cy_2019_tonnes,7557403130.0,2019,7557403130.0,Grand Total
Live Animals,cy_2019_value,454092757.0,2019,454092757.0,Live Animals
Live Animals,cy_2019_tonnes,85380552.0,2019,85380552.0,Live Animals
Miscellaneous Edible Products & Preparations,cy_2019_value,321193423.0,2019,321193423.0,Miscellaneous Edible Products & Preparations
Miscellaneous Edible Products & Preparations,cy_2019_tonnes,111119212.0,2019,111119212.0,Miscellaneous Edible Products & Preparations
"Oils, Fats & Oleaginous Fruits",cy_2019_value,71732614.0,2019,71732614.0,"Oils, Fats & Oleaginous Fruits"
"Oils, Fats & Oleaginous Fruits",cy_2019_tonnes,113939790.0,2019,113939790.0,"Oils, Fats & Oleaginous Fruits"
Other Meat & Meat Produce,cy_2019_value,20510624.0,2019,20510624.0,Other Meat & Meat Produce
Other Meat & Meat Produce,cy_2019_tonnes,35335154.0,2019,35335154.0,Other Meat & Meat Produce
Pigmeat,cy_2019_value,891520722.0,2019,891520722.0,Pigmeat
Pigmeat,cy_2019_tonnes,274532579.0,2019,274532579.0,Pigmeat
Poultry,cy_2019_value,291038413.0,2019,291038413.0,Poultry
Poultry,cy_2019_tonnes,143103442.0,2019,143103442.0,Poultry
Sheepmeat,cy_2019_value,317839964.0,2019,317839964.0,Sheepmeat
Sheepmeat,cy_2019_tonnes,61959516.0,2019,61959516.0,Sheepmeat
"Sugar, Sugar Preparation & Honey",cy_2019_value,150772999.0,2019,150772999.0,"Sugar, Sugar Preparation & Honey"
"Sugar, Sugar Preparation & Honey",cy_2019_tonnes,85405932.0,2019,85405932.0,"Sugar, Sugar Preparation & Honey"
"Wool, Flax & Cotton",cy_2019_value,7160539.0,2019,7160539.0,"Wool, Flax & Cotton"
"Wool, Flax & Cotton",cy_2019_tonnes,5683959.0,2019,5683959.0,"Wool, Flax & Cotton"
,cy_2019_value,,2019,,nan
,cy_2019_value,,2019,,nan
,cy_2019_tonnes,,2019,,nan
,cy_2019_tonnes,,2019,,nan
Animal Feed,cy_2020_value,458237352.0,2020,458237352.0,Animal Feed
Animal Feed,cy_2020_tonnes,945213536.0,2020,945213536.0,Animal Feed
Animal Skins & Furs,cy_2020_value,58636138.0,2020,58636138.0,Animal Skins & Furs
Animal Skins & Furs,cy_2020_tonnes,79266170.0,2020,79266170.0,Animal Skins & Furs
Beef,cy_2020_value,2334845719.0,2020,2334845719.0,Beef
Beef,cy_2020_tonnes,524709670.0,2020,524709670.0,Beef
Beverages,cy_2020_value,1458032691.0,2020,1458032691.0,Beverages
Beverages,cy_2020_tonnes,870026436.0,2020,870026436.0,Beverages
Cereal & cereal preparation,cy_2020_value,486499556.0,2020,486499556.0,Cereal & cereal preparation
Cereal & cereal preparation,cy_2020_tonnes,274912365.0,2020,274912365.0,Cereal & cereal preparation
"Coffee, Tea, Cocoa & Spices",cy_2020_value,420795074.0,2020,420795074.0,"Coffee, Tea, Cocoa & Spices"
"Coffee, Tea, Cocoa & Spices",cy_2020_tonnes,78207785.0,2020,78207785.0,"Coffee, Tea, Cocoa & Spices"
Crude Animal & Vegetable Material,cy_2020_value,116563466.0,2020,116563466.0,Crude Animal & Vegetable Material
Crude Animal & Vegetable Material,cy_2020_tonnes,192167467.0,2020,192167467.0,Crude Animal & Vegetable Material
Dairy Produce,cy_2020_value,5184179147.0,2020,5184179147.0,Dairy Produce
Dairy Produce,cy_2020_tonnes,1723485975.0,2020,1723485975.0,Dairy Produce
Egg,cy_2020_value,21456536.0,2020,21456536.0,Egg
